First_move	Situation	Strategy	Block	Build_3
Center	Initial	Attack_Defence	no	no
Center	Loose	Attack	no	yes
Center	UnderAttack	Defence	yes	no
Center	BeforeWin	Attack	no	yes
Center	BeforeWin	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack_Defence	no	no
Side	UnderAttack	Attack_Defence	yes	yes
Side	BeforeWin	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Center	Initial	Attack_Defence	no	no
Center	Loose	Attack	no	yes
Center	UnderAttack	Defence	yes	no
Center	BeforeWin	Attack	no	yes
Center	BeforeWin	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack_Defence	no	no
Side	UnderAttack	Attack_Defence	yes	yes
Side	BeforeWin	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Defence	no	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Defence	yes	no
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Defence	no	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack_Defence	yes	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	UnderAttack	Defence	yes	no
Side	UnderAttack	Attack	no	yes
Side	UnderAttack	Defence	yes	no
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Center	Initial	Attack_Defence	no	no
Center	Loose	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack_Defence	yes	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack_Defence	yes	yes
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Attack	no	yes
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Attack	no	yes
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Attack	no	yes
Corner	UnderAttack	Attack	no	yes
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Attack	no	yes
Corner	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Defence	yes	no
Side	UnderAttack	Defence	yes	no
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack_Defence	yes	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	UnderAttack	Defence	yes	no
Side	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Defence	yes	no
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	Loose	Attack	no	yes
Side	UnderAttack	Attack	no	yes
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Defence	no	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Side	Initial	Attack_Defence	no	no
Side	Loose	Attack	no	yes
Side	UnderAttack	Defence	yes	no
Side	UnderAttack	Attack	no	yes
Center	Initial	Attack_Defence	no	no
Center	Loose	Defence	no	no
Center	UnderAttack	Defence	yes	no
Center	UnderAttack	Defence	yes	no
Center	Initial	Attack_Defence	no	no
Center	Loose	Attack	no	yes
Center	Loose	Attack	no	yes
Center	BeforeWin	Attack	no	yes
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Defence	no	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Defence	no	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Corner	Initial	Attack_Defence	no	no
Corner	Initial	Attack_Defence	no	no
Corner	Loose	Defence	no	no
Corner	UnderAttack	Defence	yes	no
Corner	UnderAttack	Defence	yes	no
Center	Initial	Attack_Defence	no	no
Center	Loose	Attack	no	yes
Center	Initial	Attack_Defence	no	no
Center	Loose	Attack	no	yes
Center	Loose	Attack	no	yes
Center	UnderAttack	Attack_Defence	yes	yes
Center	Initial	Attack_Defence	no	no
Center	Loose	Attack	no	yes
Center	Initial	Attack_Defence	no	no
Center	Loose	Attack	no	yes
